type,danger,url,thoughts,domain,title
D9,85,https://www.ahdath.info/article/233577/%D9%85%D8%AC%D8%AA%D9%85%D8%B9/%D9%88%D9%82%D8%A7%D8%A6%D8%B9/%D8%A7%D9%84%D9%8A%D9%88%D8%B3%D9%81%D9%8A%D8%A9%D8%B1%D8%B5%D8%A7%D8%B5%D8%A9-%D8%AA%D8%B3%D8%AA%D9%86%D9%81%D8%B1-%D8%A7%D9%84%D8%A3%D8%AC%D9%87%D8%B2%D8%A9-%D8%A7%D9%84%D8%A3%D9%85%D9%86%D9%8A%D8%A9,Сайт `https://www.ahdath.info/article/233577/,ahdath.info,Юсефия...пуля мобилизует спецслужбы
" уверенностью сказать, что сайт легитимен, необходима дополнительная проверка. ",11,https://arynews.tv/pm-shehbaz-uae-president-reaffirm-to-strengthen-bilateral-ties/,"Сайт `vapeclearance.de` выглядит как интернет-магазин электронных сигарет и вейпов.  URL-адрес не содержит подозрительных поддоменов или символов.  На скриншоте отображается стандартная страница с каталогом товаров, поиском и выбором языка. Признаков мошенничества, таких как всплывающие окна с просьбой оплатить товар или ссылки на азартные игры, нет.  Однако, сайт продаёт товары, которые могут содержать элементы 18+ контента.  Нельзя со 100",arynews.tv,
""" и общая презентация выглядят слишком заманчиво, чтобы быть правдой.  Отсутствует информация о компании, которая стоит за сайтом.  Контент сайта не является контентом 18+.  В целом, сайт вызывает подозрение из-за не внушающего доверия URL и рекламных обещаний. ",11,http://dailyinfos.xyz/,"Сайт dailyinfos.xyz представляет собой рассылку ежедневных предложений и акций.  URL-адрес выглядит подозрительно из-за использования домена .xyz, который часто используется мошенниками.  Хотя на сайте нет явных признаков мошенничества, таких как запросы на оплату или ссылки на азартные игры, обещание ""скидок до 100",dailyinfos.xyz,Рассылка - Ежедневные предложения и акции
D0,11,http://mobilephoneloans-21.live/?%D0%BA%D0%B21=%D0%A1%D0%9C%D0%A1%D0%B0%D0%BF%D0%BB%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%98%D0%B0%D0%B7%D0%B0%D0%B7%D0%B0%D1%98%D0%B0%D0%BC&%D0%BA%D0%B22=24-%D1%87%D0%B0%D1%81%D0%BE%D0%B2%D0%BD%D0%B0%D0%A1%D0%9C%D0%A1%D0%B0%D0%BF%D0%BB%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%98%D0%B0%D0%B7%D0%B0%D0%B7%D0%B0%D1%98%D0%B0%D0%BC&%D0%BA%D0%B23=%D0%A1%D0%9C%D0%A1%D0%B0%D0%BF%D0%BB%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%98%D0%B0%D0%B7%D0%B0%D1%85%D0%B8%D1%82%D0%BD%D0%B8%D0%B7%D0%B0%D1%98%D0%B0%D0%BC&%D0%BA%D0%B24=%D0%9F%D0%BE%D1%82%D1%80%D0%B5%D0%B1%D0%B0%D0%BD%D0%B2%D0%B0%D0%BC%D1%98%D0%B5%D1%85%D0%B8%D1%82%D0%B0%D0%BD%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B7%D0%B0%D1%98%D0%B0%D0%BC&%D0%BA%D0%B25=%D0%9F%D1%80%D0%B8%D1%98%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D1%81%D0%B5%D0%B7%D0%B0%D1%85%D0%B8%D1%82%D0%B0%D0%BD%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B7%D0%B0%D1%98%D0%B0%D0%BC&%D0%BA%D0%B26=%D0%9B%D0%BE%D1%88%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B7%D0%B0%D1%98%D0%B0%D0%BC&%D0%BA%D0%B27=%D0%A6%D1%80%D0%BD%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%B0%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B0&%D0%BA%D0%B27=%D0%91%D0%BB%D0%B0%D1%86%D0%BA%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%BD%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%B0&%D0%BA%D0%B2%D0%BB%D0%BE%D0%B28=%D0%9F%D0%BE%D1%82%D1%80%D0%B5%D0%B1%D0%B0%D0%BD%D0%B2%D0%B0%D0%BC%D1%98%D0%B5%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BD%D0%B8%D0%B7%D0%B0%D1%98%D0%B0%D0%BC%D0%BD%D0%B0%D1%86%D1%80%D0%BD%D0%BE%D1%98%D0%BB%D0%B8%D1%81%D1%82%D0%B8&%D0%BA%D0%B29=%D0%91%D0%B5%D0%B7%D0%BE%D0%B4%D0%B1%D0%B8%D1%98%D0%B0%D1%9A%D0%B0%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B0&%D0%B0%D0%B4%D1%82%D0%B8%D1%82%D0%BB%D0%B5=%D0%A5%D0%B8%D1%82%D0%BD%D0%BE%D0%B2%D0%B0%D0%BC%D1%82%D1%80%D0%B5%D0%B1%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0%D1%86%D0%B4%D0%B0%D0%BD%D0%B0%D1%81&sub1=clickid&sub2=ad.id&sub3=campaign.id&network=facebook&site=placement&pxfb[id]=1283989256289210&pxfb[ec]=Purchase,URL-адрес `http://mobilephoneloans-21.live/?,mobilephoneloans-21.live,mobilephoneloans-21.live - mobilephoneloans 21 Ресурсы и информация.
2BPgaBqmTkA6Niudi,11,https://us8.proxysite.com/process.php?d=V0IL8hQWtiQ2d7DzSG4MTADo2w0sg2ZM%2BPgaBqmTkA6Niudi%2BZ0rRBiXeL8zV1FrqZxM9r0rVbJHeOKJs9aq6VmcslVHLi8pbsXEf0vOhaI6MjcXWggsJpmAgRFNVgU%2BcdYD6TIy6R2M8%2BGLpHK1%2FQ%3D%3D&b=1&f=norefer,URL адрес `https://us8.proxysite.com/process.php?d=V0IL8hQWtiQ2d7DzSG4MTADo2w0sg2ZM,proxysite.com,ProxySite.com — бесплатный веб-прокси-сайт
3A,11,https://r.mrd.ninja/http%3A%2F%2Fmontorestaurantdublin.com,"Я вижу сообщение об ошибке ""Извините, вам заблокирован доступ к eljefesalem.com"" от Cloudflare.  Это означает, что я не могу получить доступ к целевому веб-сайту, и, следовательно, не могу оценить его содержание.  URL-адрес  `https://r.mrd.ninja/http",mrd.ninja,Перенаправление
D0,11,https://rhetoric.bg/%D0%BF%D1%80%D0%B5%D0%B4%D0%B8%D0%B7%D0%B2%D0%B8%D0%BA%D0%B0%D1%82%D0%B5%D0%BB%D1%81%D1%82%D0%B2%D0%B0-%D0%B8-%D0%BF%D0%B5%D1%80%D1%81%D0%BF%D0%B5%D0%BA%D1%82%D0%B8%D0%B2%D0%B8-%D0%BF%D1%80%D0%B5?utm_source=chatgpt.com,URL адрес `https://rhetoric.bg/,rhetoric.bg,Вызовы и перспективы для СМИ и социальных сетей | РИТОРИКА И КОММУНИКАЦИИ
мошенничество,10,http://app1.ftrans01.com/CNRVTSH?id=10401=IEUEAAIHDAUCRQlWUV1WBAsAXwYGBAZUB1JUCF5bXVUFWFYJBgcODAdYC1pWVQdQWAEaQ1MIBwEHV1YIDVcMBCNeWVFaWxZWXFREUwBXUgcJBlEHA1dbCQVWVQNECk1FEwMbH1JHSAQdX0wQVgoXBggaBV9bSSB/YTIyYnBdUFUfTwc=&fl=C01AQEANFxpaVFkFXgpWBgsBSEdGAw1WWgoDQVcVXEMGXRpTXFoXQkMUWw1ZEAFYTRtUH18IB1RLShZZSA==,"URL-адрес выглядит подозрительно. Он содержит длинную, зашифрованную строку, что не характерно для легитимных сайтов.  Также, сам браузер Chrome маркирует сайт как опасный, предупреждая о возможности обмана и кражи личной информации.  Это сильный признак мошенничества.  Наличие такого предупреждения от браузера само по себе является достаточным основанием для высокой оценки опасности.  Я не вижу контент 18+ или признаки онлайн-казино, но потенциальная угроза безопасности и обмана слишком велика.

",ftrans01.com,
мошенничество,10,https://expressdrivinglicense16179.actoblog.com/32194503/buy-a1-and-a2-motocycle-licence-online-the-process-isn-t-as-hard-as-you-think,"Сайт расположен по адресу `expressdrivinglicense16179.actoblog.com`.  URL-адрес вызывает подозрение из-за наличия длинного числового идентификатора (`16179`) в доменном имени и использования платформы `actoblog.com`, которая часто используется для создания блогов, а не для легитимной продажи лицензий.  Заголовок сайта ""Купить права на мотоцикл A1 и A2 онлайн. Процесс не такой сложный, как вы думаете""  также настораживает.  Продажа водительских прав онлайн — это незаконная деятельность во многих странах.  Сайт выглядит непрофессионально и не внушает доверия. Отсутствуют какие-либо реквизиты компании, контактная информация выглядит минимальной, а сам сайт представляет собой простую страницу с одной картинкой и текстом, характерном для мошеннических сайтов.  Вероятность мошенничества очень высока.  На сайте нет контента 18+.",actoblog.com,"Купить права на мотоцикл A1 и A2 онлайн. Процесс не такой сложный, как вы думаете"
18+,10,https://www.016967.xyz/video/2100.html,"Сайт содержит заголовок ""Porn Chatting Sites"" и статьи с явным сексуальным подтекстом, например, ""What's Really Happening With Sex Toy Shop Near Me"" и ""How to Sell Nude Girls Sex"". URL-адрес  `https://www.016967.xyz/video/2100.html` выглядит подозрительно, `.xyz` домен часто используется для мошеннических или сомнительных сайтов.  Контент явно 18+.  Отсутствуют признаки мошенничества в виде запроса оплаты или казино, но тематика сайта и подозрительный URL указывают на его сомнительный характер.",016967.xyz,Что на самом деле происходит с магазином секс-игрушек рядом со мной – сайты порночатов
